Name	Frequency [meV]	ZPR	Reference_Alpha	Reference_ZPR
mp-4175	-273.14642937571267	-2.272594706364224	0.057583999999999996	-2.270268
mp-4187	-1524.3850047695828	-84.5590311822982	1.039498	-83.053608
mp-4190	-1012.635728520727	-124.16525270533472	1.7817830000000001	-119.2355
mp-4200	-1814.6943864886773	-447.073671460831	4.986199000000001	-395.565093
mp-422	-83.00840999997831	-38.46995428787267	0.460761	-38.247038
mp-4236	-938.1680140365897	-107.48013317470334	2.074001	-102.21828
mp-4280	-381.35692415421363	-59.26616676674057	0.851152	-58.445693999999996
mp-4342	-396.1499271769154	-159.31044392423206	4.667097	-151.34243800000002
mp-4359	-487.7036237279951	-98.63700328247843	2.045592	-94.883189
mp-4360	-642.0736471906429	-210.10371418865506	4.081268000000001	-182.55102399999998
mp-4385	-1309.5064104026026	-164.68383264642404	3.9368090000000002	-158.573231
mp-4405	-65.82441143256503	-41.28928213644258	2.29578	-38.263685
mp-4406	-1710.9259659701836	-200.22257976535454	3.3117950000000005	-191.622767
mp-441	-30.68885035562103	-34.47389730309866	2.456651	-32.882854
mp-4452	-494.20551536443713	-23.199018393739856	0.649044	-22.96539
mp-4495	-274.02697997752097	-35.38815921459431	1.479939	-34.680665000000005
mp-4497	-2006.7959226883336	-148.6164626487871	1.2665640000000002	-145.033869
mp-4511	-288.4555456649172	-134.15578658052	2.3496420000000002	-127.232225
mp-4514	-1096.7586693525288	-2963.0533950981917	12.788332	-1063.215259
mp-4524	-395.62957714205334	-5.371733418550571	0.12059600000000001	-5.360903
mp-4531	-1063.9316168854346	-450.92004572451725	12.22807	-385.21132900000003
mp-4533	-1682.3391869041857	-186.95827427846854	2.891238000000001	-177.791796
mp-4547	-231.69826684164278	-61.90915771721377	1.679367	-60.17057
mp-4555	-888.7770059441473	-155.3557922452933	2.074138	-149.121258
mp-4586	-390.84779593521347	-22.73694908313737	0.63803	-22.468894999999996
mp-4609	-1809.534644756906	-542.935167802267	6.1325140000000005	-453.115935
mp-463	-39.03555830144681	-242.11939902744828	5.609998	-218.989404
mp-4636	-339.76358244253225	-89.72838768149822	1.331683	-87.89223
mp-4651	-905.2807640713617	-509.6525692289875	38.485234	-395.55327700000004
mp-4666	-312.43891273453914	-8.582526045149603	0.203183	-8.550284
mp-468	-925.0006171847515	-314.1479359832071	3.583815	-284.69422399999996
mp-4690	-1159.3285585646704	-321.14853672421407	11.877347	-275.611555
mp-470	-605.2480930066015	-102.03189777858148	1.232535	-100.03678900000001
mp-4763	-419.35954365078476	-7.4741235637452075	0.145405	-7.455977000000001
mp-4782	-548.1872453732508	-341.55635564024436	5.785298000000001	-269.714022
mp-4809	-471.75624625783615	-19.62857221523116	0.677541	-19.453818
mp-4824	-222.05116726525344	-22.945632765318962	0.652613	-22.675327000000003
mp-487	-955.1717765651541	-15.100074154771722	0.29553199999999996	-15.037689000000002
mp-4961	-339.6958418741796	-110.11774636183031	2.465841	-105.25136300000001
mp-4979	-384.6797834557936	-14.382980687601773	0.284349	-14.302379
mp-5012	-1960.1148192973715	-228.55561901761757	2.4703169999999997	-217.55584399999998
mp-5020	-445.745425638738	-1551.9160120791187	9.248048	-740.729087
