Name	Formula	Alpha	Reference_Alpha	ZPR	Reference_ZPR	Error
mp-10614             	 SrLiP                	1.281069225264043	1.762995	-45.235086726772145	-54.077896	-16.35198468747352
mp-10615             	 BaLiP                	0.5615972573392322	0.847246	-18.785384833751905	-24.09179	-22.025782086960305
mp-10616             	 BaLiAs               	0.5228781202179688	0.785733	-12.668565638682226	-15.641872	-19.00863503625252
mp-10627             	 SrS                  	2.2943374695684775	2.821312	-78.2723127834005	-93.232717	-16.046302948137296
mp-10653             	 SrTe                 	1.4483353454101031	1.753341	-26.42538644180958	-31.38225	-15.795118444950315
mp-10680             	 BaSe                 	2.413948338837879	2.993544	-50.54761883756466	-60.603891	-16.593443088390703
mp-10694             	 ScF3                 	14.51826586130139	19.588898	-1880.5949232739213	-1313.369348	43.1885802830478
mp-10695             	 ZnS                  	0.3819140760432478	0.467033	-16.120281428301915	-19.618708	-17.832094609380427
mp-1070              	 CdSe                 	0.19900891742773397	0.235868	-4.901251005406843	-5.80641	-15.58896107221427
mp-10748             	 TaCu3S4              	0.1132121077879189	0.147763	-5.69573019534999	-7.28856	-21.853834017282022
mp-10760             	 MgSe                 	0.9351884216011002	1.151771	-35.86832377747607	-43.645247	-17.818488282410055
mp-10776             	 K2Sn(AsS3)2          	1.1638432724138246	1.696004	-40.26593243240644	-43.554576	-7.550626982555313
mp-1087              	 SrS                  	1.5475459620945367	1.899974	-55.64477654574908	-66.92338	-16.85300929847075
mp-10918             	 Rb2PdC2              	1.8666591013987006	3.244706	-36.33751587412242	-44.260297	-17.900424676042242
mp-10919             	 Rb2PtC2              	1.329981516661207	2.207765	-29.572509616875088	-29.324192	0.8468012243102488
mp-10955             	 Sn(HgSe2)2           	0.009802205101042828	0.000883	-0.1468480238247511	-0.008952	1540.3934743604905
mp-10969             	 CdCN2                	1.3858940397636825	2.538719	-150.45893158439674	-121.941171	23.386490674586632
mp-11019             	 GaCuO2               	0.6455806780326901	0.84907	-46.762815435811234	-56.737002	-17.579685588936762
mp-11020             	 GaAgO2               	0.5673993342117888	0.786433	-38.69279389712555	-48.307112	-19.90248993331344
mp-11022             	 ScAgO2               	0.9776372148166883	1.407029	-70.53076982185597	-94.756829	-25.566557507052107
mp-1105              	 BaO2                 	2.8919474943413523	3.5035	-128.09857928137825	-149.216774	-14.152694869694567
mp-1106              	 Sr2Si                	0.2935746880786942	0.35939	-7.786265502502898	-8.685786	-10.356236010156158
mp-11123             	 CsYHgSe3             	0.9541927542404642	1.390372	-21.850174597071412	-25.694268	-14.960898683428494
mp-11175             	 LiZnPS4              	1.3318802833619432	2.02847	-67.1414175582654	-75.254712	-10.781111542536493
mp-11265             	 BaCaSn               	0.30892358240511486	0.391851	-4.867815421317132	-5.634873	-13.612686189784014
mp-11327             	 Rb2Se                	2.0805235237811135	2.575686	-35.69059519820643	-42.941968	-16.886447313717834
mp-1138              	 LiF                  	4.603922838581601	5.695528	-394.47874506263037	-452.727671	-12.866217302049918
mp-1143              	 Al2O3                	1.4648028378483153	1.854077	-157.66972898948939	-191.061761	-17.477087950901176
mp-11520             	 YNiSb                	0.16617026034799923	0.197727	-4.281562669228091	-5.059627	-15.377899018483163
mp-1153              	 Li2S                 	1.1534047192577381	1.427721	-66.75383221862351	-81.395721	-17.988523968448515
mp-11583             	 Zr2SN2               	0.51931276699501	0.650485	-39.21865383295428	-44.996045	-12.839775511482665
mp-11659             	 BaTi(BO3)2           	3.977294769049844	6.279856	-430.19873952804386	-387.272031	11.08438128547523
mp-11674             	 Al2Se3               	0.412463973343691	0.808545	-17.243564477378488	-21.063994	-18.13725128587443
mp-11695             	 Rb2Pd3S4             	1.8010095030084354	2.368316	-29.186445855246152	-27.035863	7.954555973471804
mp-11703             	 KSbS2                	1.0359632533719787	2.62605	-39.577323836102096	-56.642705	-30.128118287955886
mp-11713             	 SiC                  	0.2675402662178999	0.331847	-31.226409475443912	-38.558498	-19.015493094560085
mp-11714             	 SiC                  	0.2813736928609814	0.349821	-33.33801335522566	-41.30001	-19.278437571260486
mp-11715             	 MgSn(BO3)2           	1.7270710382642585	2.698215	-182.1927148924532	-191.615498	-4.917547487493309
mp-11718             	 RbF                  	4.492992547288679	5.554849	-159.0943223220829	-182.926002	-13.028043808620012
mp-11719             	 K4ZnP2               	1.0879045696427578	1.546536	-29.616389475510797	-33.173214	-10.721977449906435
mp-11739             	 KLaTe2               	1.5191595446545962	1.864533	-31.652890231099732	-36.501237	-13.282691676723916
mp-11824             	 Ca3PN                	1.1378641958147064	1.562426	-54.672816492517796	-61.838016	-11.587046239456011
mp-11869             	 HfSnPd               	0.15853502326312766	0.195518	-3.9539637593040884	-4.821477	-17.992686487893884
mp-1190              	 ZnSe                 	0.21739386928238688	0.266401	-6.6170805980487994	-8.086837	-18.174675734792228
mp-11917             	 Mg(BeN)2             	1.5482641655696647	1.73241	-169.9084143793702	-174.165254	-2.4441382668840426
mp-11918             	 Ca(BeN)2             	1.0705922060626771	1.614466	-97.7975260804216	-109.115446	-10.372426942724864
mp-11919             	 Sr(BeN)2             	0.9375646731322858	1.448386	-82.78097191094471	-91.221075	-9.252360914465529
mp-12317             	 SrCN2                	1.7681042079899487	3.000545	-170.92083145926816	-142.453397	19.983682424412923
mp-12427             	 Sr2TaGaO6            	4.401144272828113	5.877744	-362.3980860297598	-405.84153	-10.70453385345758
mp-1243              	 Ga2O3                	0.9725544553611518	1.248988	-78.38549276300743	-95.186478	-17.65060078910847
mp-12444             	 SrCuSF               	1.1698788082360008	1.372376	-44.392811309539155	-48.54983	-8.562375378988648
mp-1249              	 MgF2                 	3.080079760877173	4.026755	-228.32425482807784	-267.628968	-14.686270124511388
mp-12509             	 YZnPO                	0.7999358471490055	1.010418	-42.629869458041235	-49.530314	-13.931760137758795
mp-1253              	 BaSe                 	1.781063690651512	2.146811	-38.11679502905511	-44.85382	-15.01995810155052
mp-12532             	 KAg2PS4              	0.5864209948088063	0.754165	-21.093943134391417	-18.883874	11.703473208894625
mp-12535             	 K2ZnTe2              	2.2760353879005435	3.127632	-46.39532485511811	-56.887724	-18.44404804256519
mp-12558             	 LiMgAs               	0.45427906128691653	0.562846	-17.9286740052299	-21.991846	-18.47581142015135
mp-12622             	 SrPdF4               	4.491898625946883	6.594392	-229.6986307653061	-245.319538	-6.367575677846704
mp-1265              	 MgO                  	1.5731297232806802	1.963719	-138.2868889042578	-169.038155	-18.191908268131645
mp-1266              	 Na2Se                	1.221337632650316	1.501035	-32.771499833898716	-39.637532	-17.322047614118063
mp-12779             	 CdTe                 	0.17119323669590786	0.207348	-3.457621585638478	-4.182001	-17.32135918574676
mp-12814             	 Ba3SbN               	0.6736250610945658	0.955776	-22.44998179000416	-22.462216	-0.05446573034398008
mp-1287              	 KS                   	2.6531584951260623	3.670465	-67.64471080861463	-91.251834	-25.870299978173993
mp-12894             	 Y2SO2                	1.4118726043642609	1.775098	-90.62083174525372	-106.175816	-14.650213994819945
mp-12903             	 YAgTe2               	0.4273920917083107	0.547345	-9.459856674561513	-11.172287	-15.327482416433519
mp-12908             	 ScAgSe2              	0.4569492236415616	0.635843	-13.881453405686237	-17.69425	-21.548223825896905
mp-12927             	 Ba(BeN)2             	0.8996201069141831	1.44662	-72.38362752847249	-78.761839	-8.09809871443899
mp-12954             	 CuBS2                	0.11239450558151903	0.147258	-8.545669810046672	-9.826255	-13.032281270467012
mp-13031             	 MgSe                 	0.5574347337035647	0.697039	-23.187536303511244	-28.790573	-19.46135874575596
mp-13032             	 MgS                  	0.7364091904824904	0.910984	-38.91570039798446	-47.69018	-18.39892322070401
mp-13033             	 MgTe                 	0.4141153902655918	0.516509	-14.620892848789113	-18.14123	-19.4051734706571
mp-13056             	 Ba2LaTaO6            	2.3549624718105884	3.388674	-168.95354125331292	-197.632348	-14.5111906208224
mp-13097             	 NaZnAs               	0.21898169237262496	0.263028	-5.673084054867299	-6.68702	-15.16274730945475
mp-13099             	 YN                   	0.5106732454268775	0.623581	-38.192840487643615	-46.336963	-17.575865971959324
mp-13109             	 SrHfO3               	2.1168067595216686	2.797318	-163.8696525605773	-188.129819	-12.895439207020502
mp-13133             	 K2TiO3               	3.9562040504995335	6.391442	-288.7740393281153	-306.536155	-5.794460256045396
mp-1315              	 MgS                  	1.106009100226018	1.344628	-55.220402793927015	-66.174506	-16.55335848834743
mp-13275             	 NaSrP                	0.6522647719636606	0.838213	-20.714209074927044	-25.743488	-19.536120843737084
mp-13276             	 SrLiP                	1.0314743108387086	1.382641	-37.5290807452725	-43.971464	-14.651282146820254
mp-13277             	 BaLiP                	0.9796942742917998	1.30059	-31.83393514420922	-36.921275	-13.7788845477053
mp-1330              	 AlN                  	0.97809914925555	1.194116	-107.76030257415653	-129.905926	-17.047431251014267
mp-13356             	 Ba2SrTeO6            	2.0055055642783572	2.974058	-122.78163136333971	-136.929711	-10.332366535601821
mp-1340              	 Ga2Se3               	0.27407290860183486	0.473593	-7.921798149004663	-10.051305	-21.186371829283228
mp-1342              	 BaO                  	2.610013159261952	3.191754	-131.87327754356073	-155.420541	-15.150676548242908
mp-13445             	 Rb2As2Pt             	1.0105705516641073	1.631037	-13.925168439088562	-19.099862	-27.09283219382129
mp-1345              	 CaP                  	0.5904583065861067	0.823958	-22.271663594543814	-31.517148	-29.33477485163374
mp-13548             	 Cs2Pt                	3.138668628350669	4.006704	-28.811986112124835	-34.215997	-15.793813893177411
mp-13610             	 ZnPbF6               	2.778012372008278	3.714594	-135.45233321320532	-143.875389	-5.854410434848375
mp-13660             	 Ca4Sb2O              	0.6304869288463001	0.816863	-19.836703057471418	-20.886389	-5.025693730632822
mp-1367              	 Mg2Si                	0.16394572571535565	0.199842	-6.900978948132076	-8.394806	-17.794658409830134
mp-13676             	 TlPO4                	1.244377956692518	4.603768	-99.05058485255032	-107.877071	-8.181985352058442
mp-13800             	 Cs2NaTlF6            	4.668481131272814	6.480526	-183.02820094291837	-198.543428	-7.814525624631418
mp-13868             	 PdF4                 	0.4362951680398889	0.732444	-31.39068648174575	-38.888688	-19.280674931111722
mp-13898             	 Cs2NaInF6            	3.9830305448216423	5.429014	-165.62501535022244	-180.346896	-8.163090674861156
mp-13900             	 Sr(CuO)2             	0.8053764627353153	1.362985	-35.55550779194664	-40.071942	-11.27081439689986
mp-13903             	 ZnSnF6               	2.997065532676903	4.037649	-170.1184299077368	-184.028105	-7.558451516013383
mp-13907             	 CdSnF6               	3.061630139287378	4.295344	-163.16470756520394	-171.577383	-4.903137749103014
mp-13925             	 Cs2NaYF6             	3.9296619142891185	5.575884	-170.05492959927486	-185.823949	-8.485999509527776
mp-1394              	 Rb2O                 	2.042450673826468	2.520174	-76.4559289189217	-91.738327	-16.658684086399678
mp-13948             	 Cs2HfF6              	4.1518948557615944	6.55988	-181.47194162636745	-182.343836	-0.4781594995251482
mp-13949             	 Cd(GaTe2)2           	0.14834400002505743	0.209385	-3.468175829815918	-4.220941	-17.834060466234465
mp-13983             	 ZnPdF6               	4.267119628691447	6.240643	-255.1969410983102	-273.924328	-6.836700864951949
mp-13984             	 CdPdF6               	4.531594712324578	7.532865	-256.7427479537694	-274.480455	-6.46228418931708
mp-13992             	 Cs2Pt3S4             	2.5253260548156784	3.315244	-37.8470856498823	-32.144255	17.741368247241386
mp-14017             	 K3Sb                 	0.6082898185385541	0.783569	-8.124497891631128	-9.906622	-17.989220829954675
mp-14037             	 NaTl2RhF6            	4.59285499953471	7.419225	-170.45492612812387	-166.107204	2.617419367388712
mp-14038             	 Rb2NaRhF6            	6.364219275176701	9.766167	-302.47814459799525	-285.34503	6.004350101347566
mp-14088             	 Rb2PdF6              	8.29938118527565	13.975887	-341.1692750138057	-275.246918	23.95026163882631
mp-14091             	 AlAgSe2              	0.18725686189253127	0.286982	-7.465719903964467	-8.647346	-13.664609881870504
mp-14092             	 AlAgTe2              	0.10431268131612245	0.160262	-3.640444354077506	-4.333564	-15.994217367563834
mp-14116             	 CuRhO2               	0.0991476652227454	0.125252	-7.860145081456903	-9.471109	-17.009242724828713
mp-1413              	 P2Ru                 	0.29706241333799444	0.371969	-14.47434695427494	-17.874043	-19.020296894916612
mp-1415              	 CaSe                 	1.1612528058296254	1.417142	-38.09136104192046	-45.785759	-16.805220937976678
mp-14175             	 K3NbO8               	6.799745709103812	13.774423	-345.08424878070025	-327.272624	5.442442622606968
mp-14205             	 K3Cu3As2             	0.7796052245692814	1.086882	-14.096852836885564	-16.273908	-13.37758062239528
mp-14206             	 K3Ag3As2             	0.7180855721089117	1.003757	-12.09785195250055	-13.638126	-11.293883393506189
mp-14285             	 CoP2                 	0.25796183382152676	0.310216	-14.09403160874221	-16.464164	-14.395704460049053
mp-14333             	 TaAlO4               	2.5594672654142956	3.26286	-258.3706560616868	-289.323003	-10.69819772965415
mp-14398             	 CaSn(BO3)2           	1.94398780494716	3.228303	-191.34850518481156	-195.877926	-2.31236919222253
mp-14437             	 RbYO2                	2.3135964065968717	2.927768	-146.8902294217015	-169.492123	-13.335070195739126
mp-14588             	 Na2PtSe2             	1.3674129242108133	1.705753	-30.082671869395362	-30.628693	-1.7827111676121346
mp-1479              	 BP                   	0.009523042243405512	0.011566	-0.9643571773871834	-1.17111	-17.654432343060574
mp-1500              	 BaS                  	1.830337264925997	2.211044	-57.76502878813988	-68.073988	-15.143756836840705
mp-15157             	 Cs2CaF4              	4.028840012129079	5.828013	-165.2662947308089	-179.539973	-7.950139476288712
mp-1519              	 CaTe                 	0.9025966931674977	1.090306	-24.71617885047661	-29.511077	-16.24779112440861
mp-1522              	 FeS2                 	0.3791013339712317	0.475666	-21.697245324081585	-26.356471	-17.677729601654235
mp-15349             	 Li2GeO3              	1.6122769593240618	2.169135	-141.77016424587208	-170.597652	-16.89793934217097
mp-1541              	 BeSe                 	0.2849445732638649	0.351499	-20.32672925243366	-24.985241	-18.645054284512767
mp-1550              	 AlP                  	0.21035426718214556	0.256934	-12.786764351746971	-15.577266	-17.913937197021795
mp-15556             	 Rb2As3               	1.3683720287160634	1.808589	-19.075520074741934	-21.988898	-13.249313018133355
mp-1565              	 ZrO2                 	2.0984391317334694	2.604324	-174.42570574439353	-210.328836	-17.069999025528993
mp-15668             	 NaSe                 	0.5516468156761871	0.697597	-12.120727819800388	-14.888139	-18.588026214690853
mp-15684             	 K2CuAs               	1.1088120039450877	1.591271	-21.251006611184994	-27.44914	-22.5804283442578
mp-15685             	 Na2CuAs              	0.5089090488549438	0.769039	-11.987736757572142	-16.624855	-27.89268383049271
mp-1569              	 Be2C                 	0.4450177346295499	0.540392	-52.15231856843016	-62.97519	-17.185928985001613
mp-15703             	 BeCN2                	0.4164671917428584	0.513392	-60.74262768396242	-73.488191	-17.34368902350254
mp-15704             	 BeSiN2               	0.6287031723126039	0.768507	-80.22915761874489	-95.847663	-16.2951342707804
mp-15724             	 KNa2Sb               	0.39732235042798764	0.500298	-6.671872873847635	-8.189347	-18.52985501960492
mp-15776             	 Zn(GaSe2)2           	0.24346755088089908	0.330123	-7.507955529493452	-9.188066	-18.285790181595864
mp-15777             	 Zn(GaTe2)2           	0.2172844851048276	0.304611	-5.440032566507215	-6.783084	-19.80001181605277
mp-15781             	 KLaS2                	2.051969946434648	2.590219	-75.01268085336403	-88.05518	-14.811734126982607
mp-15788             	 LiYS2                	1.2830118003804825	1.521832	-57.83153844455721	-67.068746	-13.7727452895016
mp-15794             	 LiYSe2               	1.1330730561780096	1.372559	-39.72679163710418	-46.777694	-15.07321494491759
mp-15896             	 Cu2SiSe3             	0.040805202258911336	0.065932	-1.644247765262354	-2.042563	-19.50075638977334
mp-1591              	 Al4C3                	0.4590380247526257	0.579278	-41.611277793403275	-47.841416	-13.022478696275893
mp-15951             	 BeF2                 	2.3220020937558234	3.007256	-269.52382068631647	-314.068617	-14.183141486461714
mp-1598              	 Na3P                 	0.2961621648310386	0.368763	-8.40642150201471	-9.915623	-15.220440490580264
mp-15988             	 Li2CuSb              	0.17116763413420547	0.215986	-5.604297654594244	-6.608727	-15.198529844034358
mp-15999             	 Li3AuS2              	0.719023822411274	0.960208	-36.088463913349656	-44.970025	-19.749958081300473
mp-160               	 B                    	0.016264532986474848	0.023306	-1.6453035216390082	-2.034023	-19.11086936386618
mp-16236             	 KAgSe                	0.7118146209729815	0.887374	-13.342138583887431	-15.36023	-13.138419256173695
mp-16337             	 Ga2HgTe4             	0.11408649510775225	0.162212	-2.405952668421675	-2.781335	-13.496480344091054
mp-1634              	 MoSe2                	0.026009682752374457	0.038544	-1.1523242304189165	-1.411962	-18.388438894324594
mp-1639              	 BN                   	0.4249132060474806	0.520388	-67.85622689100177	-82.659657	-17.908893704940283
mp-16577             	 Li2CaHfF8            	21.094921517693262	28.131923	-3215.4019645704507	-1580.468082	103.44618162117686
mp-1672              	 CaS                  	1.2577537476075948	1.531493	-54.628536733933124	-65.429447	-16.507720546785105
mp-16742             	 BaAgTeF              	0.949748860363107	1.178465	-26.177175254414163	-27.762097	-5.7089410269902805
mp-16763             	 KYTe2                	1.1869746938432177	1.448525	-28.18583821454582	-31.999407	-11.917623303001147
mp-16764             	 RbYTe2               	1.2481407670359737	1.594374	-27.74644934708717	-33.237708	-16.52117123392752
mp-1700              	 AlN                  	0.6602072140957344	0.805197	-73.02374942127467	-88.315118	-17.314553753668
mp-1747              	 K2Te                 	1.8033857239573203	2.222962	-31.504555166117623	-37.900127	-16.874803173832046
mp-1778              	 BeO                  	1.2371309128173045	1.506149	-168.64097707719762	-202.010938	-16.51888816178973
mp-1784              	 CsF                  	4.291864918047057	5.37498	-132.89249422257646	-155.457173	-14.515045103401919
mp-1794              	 BeO                  	1.9633464478824838	2.34269	-247.57232920912665	-287.609955	-13.920806667096542
mp-181               	 KGa3                 	0.044350676067540014	0.068072	-0.6801317713938734	-0.814673	-16.51475237379005
mp-1873              	 ZnF2                 	2.698102732145635	3.673606	-151.68044717574196	-180.014764	-15.739996095130316
mp-1922              	 RuSe2                	0.13070741141659709	0.170175	-4.883034643326228	-5.979827	-18.341539925381987
mp-1958              	 SrTe                 	1.1783371731409467	1.443271	-24.10477211732882	-29.073332	-17.089750437518408
mp-1960              	 Li2O                 	1.849172002203758	2.281949	-166.80650368549735	-200.756634	-16.9110876378325
mp-1968              	 La2O3                	2.855922150456673	3.574025	-186.7857106893943	-217.824839	-14.249581660705687
mp-19717             	 TePb                 	0.31995277160554964	0.384244	-4.446769676222139	-5.318954	-16.397666228695726
mp-19734             	 MgPbF6               	3.4933511246692763	4.78408	-203.72589584585796	-220.349209	-7.544076618011385
mp-19765             	 In2HgTe4             	0.08444429843731485	0.110359	-1.5075910771329937	-1.686678	-10.617730406574713
mp-19795             	 InS                  	0.4452650301872714	0.588858	-15.03981600106152	-19.610626	-23.30782300849794
mp-19833             	 InAgS2               	0.050485457740278385	0.078291	-1.673215031646996	-2.01517	-16.969038262429663
mp-19851             	 KInTe2               	0.5361609144441241	0.693246	-10.819937376303917	-13.090821	-17.347144412837686
mp-1986              	 ZnO                  	0.3332242203656683	0.409211	-21.198801737283688	-25.924382	-18.228323678907035
mp-20015             	 As2PbO6              	1.3531757935580353	2.099579	-94.7534354681747	-103.414476	-8.375075585960802
mp-20027             	 FeP2                 	0.31782299173672596	0.398425	-18.090101998221616	-22.401661	-19.246604087877163
mp-20072             	 LaCuO2               	1.7300540267089115	2.324045	-93.00316147948745	-103.101164	-9.794266261157393
mp-2008              	 FeAs2                	0.3168747629307114	0.370156	-13.14451997484429	-15.167381	-13.336917066668999
mp-20098             	 Ba2PbO4              	1.6516713135172034	2.601671	-87.29452173522321	-104.3088	-16.311450486226274
mp-20187             	 LiInSe2              	0.4756419620628083	0.749718	-16.1610608056309	-19.396753	-16.681617765453325
mp-20256             	 K3InP2               	0.6116881792125053	1.021322	-17.571139529900655	-21.103569	-16.738540623623162
mp-20282             	 CsPbF3               	5.33189887453882	7.336683	-237.5226270337793	-275.576862	-13.808936893337846
mp-20289             	 NaInS2               	1.1752460843262202	1.472067	-44.11717192552781	-52.532912	-16.019938271215935
mp-2030              	 RuS2                 	0.11957722198386542	0.147916	-6.133642649918659	-7.54347	-18.6893743871367
mp-20329             	 InAgO2               	0.5154916583941623	0.672898	-32.945873673766506	-40.558969	-18.7704360193019
mp-20351             	 InP                  	0.035590677395067154	0.044066	-1.4225881249665242	-1.76059	-19.198216224872112
mp-20459             	 TiPbO3               	1.8416381408154012	2.1412	-143.49342233931011	-140.461607	2.1584655081656074
mp-2064              	 RbF                  	4.4190121450827995	5.454824	-154.5850315116226	-177.751313	-13.032973482664186
mp-2068              	 RhF3                 	0.7033819270257351	1.170012	-51.21525258925081	-69.577064	-26.390609714070695
mp-2072              	 KTe                  	0.8903062125661232	1.121152	-13.712194319001828	-16.617981	-17.485798551569967
mp-20731             	 In2HgSe4             	0.15183969710775813	0.204592	-3.3263709947833098	-3.703728	-10.18857230381632
mp-2074              	 Li3Sb                	0.6343094471230827	0.773889	-20.675364093281722	-24.897773	-16.958982262061266
mp-20782             	 LiInTe2              	0.34421388386738566	0.571457	-9.47790703121978	-10.955276	-13.485456402743473
mp-2079              	 Rb2P3                	1.6496961917513606	2.182003	-32.44170156654216	-35.891263	-9.611145290311587
mp-20790             	 InPS4                	0.650609109304036	1.500991	-26.92786563388644	-32.988602	-18.372213427272726
mp-20832             	 Zn(InTe2)2           	0.13200960060776956	0.180753	-2.799627121141965	-3.397858	-17.60611770291857
mp-21228             	 SrCuSeF              	0.944999116830815	1.129704	-31.691017629707407	-33.585915	-5.641940588167967
mp-21276             	 PbS                  	0.3867892667143411	0.485684	-10.344875731044535	-12.926861	-19.973799276989716
mp-2133              	 ZnO                  	0.500341229868761	0.599732	-33.44334038137022	-39.824026	-16.022201317942546
mp-21374             	 Cd(InTe2)2           	0.14138771449987936	0.198507	-2.8250653724370585	-3.459909	-18.34856429931948
mp-21511             	 K2NaInP2             	0.5716883250838207	0.792981	-17.747670457938405	-20.81577	-14.739303624423192
mp-2172              	 AlAs                 	0.16639544468125836	0.204308	-8.023543679853056	-9.831305	-18.387806299844677
