Name	Formula	Mass	Frequency [meV]	Reference_Alpha	Reference_ZPR
mp-165	Si	0.394713140644	0.094774	0.0	-0.0
mp-16577	Li2CaHfF8	22.264666917024996	0.347165	28.131923	-1580.468082
mp-1672	CaS	0.4430127104639999	0.032735	1.531493	-65.429447
mp-16742	BaAgTeF	0.24896706915600003	0.37565	1.178465	-27.762097
mp-16763	KYTe2	0.5506589800959999	0.145065	1.448525	-31.999407
mp-16764	RbYTe2	0.5452419440249999	0.410921	1.594374	-33.237708
mp-1700	AlN	0.370729983376	0.019692	0.805197	-88.315118
mp-1747	K2Te	0.29206026147599995	0.100318	2.222962	-37.900127
mp-1778	BeO	0.4809866350240001	0.018431	1.506149	-202.010938
mp-1784	CsF	0.40060924596899994	0.045437	5.37498	-155.457173
mp-1794	BeO	0.4850495670250001	0.03964	2.34269	-287.609955
mp-181	KGa3	0.27284847780099997	0.55211	0.068072	-0.814673
mp-1873	ZnF2	0.43093447993600004	0.178582	3.673606	-180.014764
mp-1922	RuSe2	0.281660534089	0.397324	0.170175	-5.979827
mp-1958	SrTe	0.375140325169	0.046744	1.443271	-29.073332
mp-1960	Li2O	0.5198352320159999	0.046945	2.281949	-200.756634
mp-1968	La2O3	1.335300424704	0.135276	3.574025	-217.824839
mp-19717	TePb	0.128474932356	0.068933	0.384244	-5.318954
mp-19734	MgPbF6	0.810401449729	0.241701	4.78408	-220.349209
mp-19765	In2HgTe4	0.054978525624999997	0.335913	0.110359	-1.686678
mp-19795	InS	0.25835160808900004	0.317563	0.588858	-19.610626
mp-19799	BaPbF6	0.6596997039610001	0.254901	6.185038	-189.663451
mp-19833	InAgS2	0.057756586276000006	0.327241	0.078291	-2.01517
mp-19851	KInTe2	0.257499413136	0.388206	0.693246	-13.090821
mp-1986	ZnO	0.12547605907599998	0.025864	0.409211	-25.924382
mp-20015	As2PbO6	0.35255568769599993	0.235021	2.099579	-103.414476
mp-20027	FeP2	1.2776752976490002	0.146216	0.398425	-22.401661
mp-20072	LaCuO2	0.8269792594559999	0.09846	2.324045	-103.101164
mp-2008	FeAs2	1.5891350508810003	0.176728	0.370156	-15.167381
mp-20098	Ba2PbO4	0.42388954062399997	0.249198	2.601671	-104.3088
mp-20187	LiInSe2	0.20335500060099998	0.300097	0.749718	-19.396753
mp-20256	K3InP2	0.15755421876099998	0.533618	1.021322	-21.103569
mp-20282	CsPbF3	1.186049505481	0.475143	7.336683	-275.576862
mp-20289	NaInS2	0.41815492920100006	0.119317	1.472067	-52.532912
mp-2030	RuS2	0.335312799844	0.333643	0.147916	-7.54347
mp-20329	InAgO2	0.299896426384	0.294835	0.672898	-40.558969
mp-20351	InP	0.043862600356	0.030614	0.044066	-1.76059
mp-20459	TiPbO3	1.287875443716	0.135511	2.1412	-140.461607
mp-20463	CaPbF6	0.923461418961	0.216679	6.671296	-274.098048
mp-20620	Ba2NbInO6	2.489355017361	0.275521	5.025656	-310.317147
mp-2064	RbF	0.41949974534400003	0.043607	5.454824	-177.751313
mp-2068	RhF3	19.814062787400996	0.208548	1.170012	-69.577064
mp-2072	KTe	0.31299213484899996	0.421622	1.121152	-16.617981
mp-20731	In2HgSe4	0.067301330625	0.297511	0.204592	-3.703728
mp-2074	Li3Sb	0.38112966544900007	0.094363	0.773889	-24.897773
mp-20782	LiInTe2	0.190162277776	0.341754	0.571457	-10.955276
mp-2079	Rb2P3	0.609629900944	0.454226	2.182003	-35.891263
mp-20790	InPS4	0.34321319233600006	0.181335	1.500991	-32.988602
mp-20832	Zn(InTe2)2	0.08513615196100001	0.312389	0.180753	-3.397858
mp-21166	SrCaPb	0.175793202729	0.608531	0.314726	-4.314583
mp-21228	SrCuSeF	0.244419494544	0.32325	1.129704	-33.585915
mp-21276	PbS	0.1138590049	0.052667	0.485684	-12.926861
mp-2133	ZnO	0.14185768959999998	0.099498	0.599732	-39.824026
mp-21374	Cd(InTe2)2	0.08311631340100002	0.32097	0.198507	-3.459909
mp-2150	BaTe2	0.423985904164	0.267111	0.640529	-9.701177
mp-21510	K2NaInAs2	0.10625970062500001	0.5429	0.551649	-10.640741
mp-21511	K2NaInP2	0.15752961	0.498546	0.792981	-20.81577
mp-2172	AlAs	0.332476785664	0.0283	0.204308	-9.831305
mp-2175	TlF	0.293487645025	0.05678	2.964253	-81.393681
mp-2176	ZnTe	0.08221065217599999	0.038166	0.169724	-4.288322
mp-21855	VCu3Se4	1.515996262564	0.287739	0.223821	-4.792166
mp-22003	NaN3	1.5248989774240003	0.091308	6.833261	-258.293701
mp-2201	PbSe	0.094342351104	0.063642	0.422402	-7.27229
mp-22255	RbInTe2	0.277422370681	0.410653	0.786802	-13.314598
mp-2229	ZnO	0.18861301561600002	0.030948	1.141155	-73.043004
mp-223	GeO2	0.40619335288900005	0.229966	1.860496	-122.429332
mp-22304	Cd(InSe2)2	0.097817566564	0.289924	0.33663	-7.321098
mp-22313	Na2PtO2	0.961899985225	0.130458	2.369184	-101.778812
mp-22323	In2O3	0.149700121921	0.279105	0.823494	-52.641912
mp-22450	Li2PbO3	0.33539503168900003	0.365228	1.807046	-95.439036
mp-22473	NaInSe2	0.352013196249	0.138524	1.154984	-29.061177
mp-22483	NaInTe2	0.208745730769	0.39628	0.801673	-13.292076
mp-2251	Li3N	0.310815170064	0.064837	0.756533	-51.112456
mp-22607	Zn(InSe2)2	0.09799153729599999	0.277391	0.30396	-7.142181
mp-22660	InAgO2	0.299952287041	0.102286	0.6484	-40.205249
mp-22851	NaCl	0.35767695972099994	0.047451	4.704021	-133.762958
mp-2286	Li2Se	0.37716179822499996	0.058383	1.259893	-59.638272
mp-22862	NaCl	0.38816887302400005	0.038809	3.570748	-112.89807
mp-22865	CsCl	0.795000490384	0.051352	6.354297	-123.193352
mp-22867	RbBr	0.36359935206399996	0.054545	4.425743	-67.150525
mp-22875	TlBr	0.176655452416	0.072584	2.130939	-28.592445
mp-22888	CaBr2	0.8042251297959999	0.267804	4.244849	-107.172792
mp-22894	AgI	0.154389269776	0.199168	0.571453	-8.68063
mp-22895	CuI	0.13989096040000001	0.043341	0.241695	-4.708821
mp-22898	KI	0.31790314124100005	0.051641	3.129643	-52.28735
mp-22899	LiI	0.5630836513209999	0.038415	2.833756	-100.673499
mp-22901	KI	0.277035900964	0.057008	3.613646	-56.02904
mp-22903	RbI	0.321968860929	0.059176	3.727597	-46.302384
mp-22904	CaCl2	0.8976633974010001	0.199482	5.610566	-168.399105
mp-22905	LiCl	0.4609893974439999	0.033429	3.29769	-163.468491
mp-22906	CsBr	0.293093387161	0.059451	3.96322	-53.620089
mp-22909	ZnCl2	0.44654469759999993	0.217394	3.275247	-71.527375
mp-22913	CuBr	0.11006934228899999	0.043486	0.209969	-4.210155
mp-22914	CuCl	0.19963024	0.039907	0.574348	-14.172407
mp-22916	NaBr	0.3065870122089999	0.042706	2.961256	-74.72265
mp-22919	AgI	0.26380139545599995	0.061145	1.366071	-16.673072
mp-22922	AgCl	0.253377329956	0.046301	1.557797	-33.660295
mp-22925	AgI	0.15272698480900002	0.049815	0.564516	-8.532153
mp-22934	K2PtCl4	1.039072383801	0.276803	5.540795	-97.052533
mp-22935	CsBrF	1.3652707287039998	0.275718	8.416415	-203.501034
mp-22936	Ca2NCl	0.613383443344	0.106051	2.097337	-109.277379
mp-22937	Na4I2O	0.26443660675599995	0.281915	2.291969	-60.780391
mp-22951	BaIF	0.478530514081	0.246021	3.061922	-73.315314
mp-22956	K2PdCl4	1.207095545041	0.277026	5.561232	-103.129332
mp-22957	SrClF	0.5568741376	0.19989	3.947213	-139.192933
mp-22975	Rb2TeCl6	0.5608871577760001	0.376644	5.523507	-86.724591
mp-22984	NaBiO2	0.40605697507599997	0.256603	1.569073	-77.009897
mp-22988	CsGeCl3	1.081375371664	0.229823	4.318082	-109.686433
mp-22990	CsICl2	1.0742721338409997	0.165174	7.378276	-103.004232
mp-23004	CsMgCl3	0.360145214641	0.440853	5.063283	-90.547131
mp-23009	Ca2BrN	0.609873531136	0.115335	2.012243	-95.472456
mp-23017	CsCu2Br3	0.304553874496	1.093702	5.473406	-36.856536
mp-23018	BiSbO4	0.872994972964	0.356253	2.670592	-139.182447
mp-23023	LaBrO	0.730262538916	0.203432	2.721539	-110.514647
mp-23024	SrBrF	0.520657492356	0.218935	3.565079	-106.759319
mp-23025	LaClO	0.738755721081	0.183907	2.91005	-133.790468
mp-23033	Sr2NCl	0.5697230400000001	0.122707	2.325014	-100.519824
mp-23036	K2SeBr6	0.312677798976	0.402994	3.069427	-42.302057
mp-23040	Ca2PI	0.47955763500100007	0.130322	1.460547	-42.775074
mp-23054	NaBiO3	0.355033647409	0.294124	1.625385	-81.457841
mp-23056	Sr2BrN	0.5590208963290001	0.132383	2.187606	-85.604263
mp-23059	Rb2SnCl6	0.47580196665599994	0.475038	5.527245	-84.873776
mp-23060	Cs2PtI6	0.32150487619600004	0.550139	1.695224	-12.783582
mp-23067	K2PdCl6	0.597493442529	0.30953	4.100188	-57.711914
mp-23070	BaBrF	0.5203963182250001	0.231786	3.649034	-98.63079
mp-23091	Ba2BiSbO6	0.36267374617599996	0.372907	1.828883	-95.530685
mp-23092	Ba2TaBiO6	0.532749630609	0.386815	2.267887	-142.887516
mp-23097	K2Os(Cl2O)2	5.763014794384001	0.33521	27.103136	-432.823529
mp-23116	CuBiSeO	0.143199425889	0.332999	0.514186	-14.823625
mp-23120	Cs2NaYCl6	2.394038263824	0.437019	14.39967	-253.838943
mp-23127	Ba2BiSbO6	0.34921717491599996	0.346166	1.764528	-94.174253
mp-23137	Ba2YBiO6	0.46456492810000005	0.306134	2.877048	-127.518329
mp-23167	TlCl	0.214252339876	0.063319	2.275216	-45.14998
mp-2319	P2Os	0.773462204089	0.155058	0.431442	-19.874145
mp-23193	KCl	0.434752972164	0.042709	4.32329	-110.091983
mp-23197	TlI	0.5316757639209999	0.081505	3.617517	-37.749617
mp-23209	SrCl2	0.3724563252639999	0.081113	3.357314	-94.243005
mp-23214	CaCl2	0.9083462371840001	0.228365	5.044753	-160.009284
mp-23222	Li3Bi	0.36132481660900007	0.099099	0.511177	-14.571766
mp-23231	AgBr	0.18120261104099997	0.054341	1.237721	-19.289511
mp-23251	KBr	0.368191676944	0.047625	3.809327	-75.178441
mp-23259	LiBr	0.338878829689	0.035987	2.588413	-108.258088
mp-23260	BaI2	0.554847704161	0.728197	4.059317	-50.670835
mp-23268	NaI	0.25683610409999996	0.046002	2.374021	-50.637683
mp-23289	KCl	0.385555306761	0.046192	4.552918	-112.684569
mp-23295	RbCl	0.415845709321	0.0469	4.687903	-98.436436
mp-23299	RbCl	0.35588264048099993	0.049298	4.445946	-93.251925
mp-23302	RbI	0.26801018380899994	0.06333	3.750568	-44.995478
mp-23303	RbBr	0.30384569328399996	0.057937	4.269716	-63.95214
mp-23350	Rb2PtCl6	0.694493889769	0.40326	5.164447	-61.609526
mp-23353	Cu2HgI4	0.151356790116	0.34511	0.449794	-5.646921
mp-23364	CsLiCl2	0.402449403321	0.358258	4.236205	-114.934452
mp-2340	Na2O2	0.767963032225	0.371264	4.434811	-208.839176
mp-23405	Cs2TeBr6	0.395664902361	0.543727	3.171151	-40.687088
mp-23406	Cs2PtCl6	0.8354051400249999	0.398968	5.368364	-61.229771
mp-23425	Cs2PbCl6	0.455623650001	0.44147	3.987506	-58.648614
mp-23432	BaClF	0.549630959641	0.214036	3.957022	-126.453911
mp-23465	Cs2TeCl6	0.6243433437160001	0.457121	4.679411	-81.003511
mp-23475	Rb2PbCl6	0.3792712225	0.373889	4.769878	-63.859778
mp-23484	CsAuCl3	0.27904806249999997	0.522108	0.782007	-6.312418
