Name	Formula	Mass	Frequency [meV]	Alpha	Reference_Alpha	ZPR	Reference_ZPR	Error
mp-1367	Mg2Si	0.25492401000000003	42.0073	0.16394572571535565	0.1639	-6.900978948132076	-6.8864	0.21170637970603165
mp-1253	BaSe	0.42406144	20.8932	1.781063690651512	1.7812	-38.11679502905511	-37.2153	2.422377433623033
mp-571222	CsBr	0.36300625000000003	13.192	3.9287169528433354	3.9285	-55.0719430568678	-51.824	6.26725659321512
mp-23251	KBr	0.36820624	19.7354	3.090461769835305	3.0904	-63.80261583735034	-60.9893	4.612802306880613
mp-22867	RbBr	0.36360899999999996	15.1727	3.5824949229311147	3.5824	-57.37200294433923	-54.3553	5.549970185684247
mp-2172	AlAs	0.33246756	48.12	0.16639544468125836	0.1664	-8.023543679853056	-8.0069	0.207866713123129
mp-20351	InP	0.04384836	39.9532	0.035590677395067154	0.0356	-1.4225881249665242	-1.4222	0.027290463122225758
mp-2758	SrSe	0.41139395999999995	24.6965	1.4779153474298183	1.478	-37.22215998599709	-36.5018	1.9734916798543771
mp-866291	AgBr	0.17205904	17.2116	0.7027091975518824	0.7028	-12.203678971766497	-12.0959	0.89103722555987
mp-30373	RbAu	0.25786084000000004	11.1663	0.8973428658743395	0.8974	-10.136491954362615	-10.0206	1.1565370772470223
mp-2691	CdSe	0.04782969	23.2316	0.07608449022925752	0.0761	-1.7692321777839493	-1.7677	0.08667634688856744
mp-22898	KI	0.31787044	16.7071	2.5034795618026395	2.5036	-43.32385757366765	-41.8275	3.5774492228023473
mp-11718	RbF	0.46526041000000007	32.9309	4.492992547288679	4.4928	-159.0943223220829	-147.9519	7.531111342323346
mp-614603	CsI	0.332929	10.6245	3.4425252105661053	3.4428	-38.5037520967461	-36.5781	5.264494593065519
mp-573697	CsCl	0.399424	18.8402	3.977764753199667	3.9781	-79.71145139753459	-74.9481	6.355533225704978
mp-2667	CsAu	0.23765624999999999	9.2608	1.0730320179125004	1.0731	-10.076666440603137	-9.9376	1.3993966410716638
mp-2624	AlSb	0.37356543999999997	40.7343	0.08483263066920961	0.0848	-3.4592345815612076	-3.456	0.09359321647012717
mp-23268	NaI	0.25684624	21.3299	1.9306296305475763	1.9306	-42.275570625850825	-41.1801	2.6601941856644893
mp-22905	LiCl	0.4610410000000001	49.5706	2.6869345047138773	2.6867	-138.377890162887	-133.1836	3.900097431580915
mp-1342	BaO	0.50737129	48.6944	2.610013159261952	2.6099	-131.87327754356073	-127.0887	3.7647544931695176
mp-1087	SrS	0.43890625	35.2233	1.5475459620945367	1.5476	-55.64477654574908	-54.5127	2.0767207380098203
mp-2605	CaO	0.58813561	68.6047	2.124727318398033	2.1248	-150.08698869746934	-145.7733	2.959176129969844
mp-23295	RbCl	0.41589601000000004	20.998	3.8117263680119056	3.8116	-84.85240446790142	-80.0359	6.017930038771882
mp-23193	KCl	0.43480836	25.4649	3.493405184774618	3.4931	-93.73844861552386	-88.9525	5.380341885302677
mp-22925	AgI	0.15272464	15.1141	0.46235156571152836	0.4624	-7.0289003965671055	-6.988	0.5852947419448352
mp-22914	CuCl	0.19963024	24.6756	0.46609050506898203	0.4661	-11.568889538573016	-11.5011	0.5894178693604676
mp-13031	MgSe	0.18344089000000002	41.3041	0.5574347337035647	0.5574	-23.187536303511244	-23.0238	0.7111610746759567
mp-10695	ZnS	0.16703569000000001	42.0071	0.3819140760432478	0.3819	-16.120281428301915	-16.0421	0.48735158303410253
mp-30847	TiSnPt	0.6253646399999999	28.4423	0.18433208101059176	0.1843	-5.2548767303578074	-5.2427	0.23226067403832582
mp-30460	YNiBi	1.04019601	23.7887	0.09509926055379103	0.0951	-2.2649580848369064	-2.2621	0.12634652919438547
mp-22913	CuBr	0.11009123999999999	20.0513	0.17019141918489175	0.1702	-3.419794681091479	-3.4123	0.2196372268405212
mp-22862	NaCl	0.388129	31.6175	2.880096803394513	2.8803	-94.91339579999519	-91.068	4.222554354982198
mp-1519	CaTe	0.380689	27.0668	0.9025966931674977	0.9025	-24.71617885047661	-24.4289	1.175979477080878
mp-12558	LiMgAs	0.30669443999999996	39.2408	0.45427906128691653	0.4543	-17.9286740052299	-17.8276	0.5669523953302779
mp-11520	YNiSb	1.024144	25.7129	0.16617026034799923	0.1662	-4.281562669228091	-4.2728	0.20508025716370198
mp-1011695	Cs2Se	0.32319225	15.2169	2.1157098276474464	2.1158	-33.1442297288995	-32.1964	2.9438997182899316
mp-961687	ZrSnPd	0.59320804	26.9373	0.1374569689339066	0.1375	-3.709049859087838	-3.7027	0.17149266988516265
mp-7173	ScSbPt	1.2948164099999997	24.7408	0.1666086083573215	0.1666	-4.130584449494261	-4.1218	0.21312168213549482
mp-570213	LiMgBi	0.034596	28.1936	0.030412029226598993	0.0304	-0.8577474577409008	-0.8573	0.05219383423548643
mp-569779	ScSbPd	1.02434641	27.8313	0.17957980982826163	0.1796	-5.009126348187297	-4.9979	0.22462130469391942
mp-31451	ZrCoBi	1.8903500100000001	33.0265	0.4339648998097375	0.434	-14.410904718256608	-14.3326	0.5463399401128128
mp-1008680	TiGePt	0.57380625	32.0024	0.16332838597280436	0.1633	-5.237532072506253	-5.2268	0.20532778193643164
mp-961693	ZrInAu	0.34316164	22.8365	0.057226235614958	0.0572	-1.307773610212988	-1.3069	0.06684598767985621
mp-961685	NaCaAs	0.17901361	27.6621	0.534777242303198	0.5348	-14.893529618561997	-14.7935	0.676172768864686
mp-924129	ZrNiSn	0.63297936	31.778	0.1450648289898995	0.1451	-4.6181906329289815	-4.61	0.17767099629026345
mp-37906	LiMgN	0.378225	78.9823	0.8199226497981229	0.8199	-65.44433764918034	-64.7578	1.060162095037721
mp-36111	LiMgP	0.31888608999999996	49.4668	0.5122920013013397	0.5123	-25.506117796845263	-25.3432	0.6428461948185854
