Name	Frequency [meV]	ZPR [meV]	Reference_Alpha	Reference_ZPR [meV]
mp-34932	565.7695750762227	-98.545212	1.62539	-97.681188
mp-35015	173.25095748012168	-20.112097	1.619901	-19.657652
mp-35152	1011.3966187750283	-31.875009	1.075077	-31.724662
mp-3519	763.8997204191115	-77.540189	1.329925	-75.258377
mp-35220	2424.580870042081	-150.71179	1.524377	-148.316612
mp-3524	1048.1894473043155	-132.663345	1.230652	-129.379363
mp-35777	177.11572038322169	-4.310015	0.20942	-4.293041
mp-3589	1285.4730549302226	-232.934627	1.792382	-224.457342
mp-3595	323.9514541915774	-3.976829	0.113103	-3.968974
mp-36066	1284.625322072468	-294.47714	2.733482	-280.576163
mp-36111	91.66698530500102	-30.770019	0.617762	-30.510244
mp-3614	381.985114690439	-563.305072	4.786917	-389.546003
mp-3637	494.2922927161905	-354.760872	4.721315	-301.917605
mp-3642	713.1879124959887	-108.390774	1.607709	-105.361757
mp-36508	651.8523324954942	-163.291616	4.137887	-150.61647
mp-3654	224.74257822585983	-302.640734	7.933547	-242.045149
mp-36582	416.4904569823754	-69.065889	2.415769	-68.489906
mp-3666	1177.386149888595	-1417.366577	9.465961	-754.69563
mp-3668	304.2334818005962	-2.60175	0.069367	-2.598731
mp-370	31.75328433764516	-27.180413	0.846725	-26.886301
mp-3700	1180.9411597141896	-305.028324	4.614058	-262.100418
mp-37091	245.98930765449205	-16.497276	0.821918	-16.301026
mp-37153	389.03299183124636	-136.66535	4.389592	-132.204081
mp-37216	574.940099097346	-162.413146	4.389878	-149.490454
mp-3731	1182.2144442845286	-286.560702	3.254376	-261.342469
mp-3744	614.6566984140845	-35.95309	0.629151	-35.635465
mp-3748	443.53696104894016	-85.470302	1.017882	-83.991841
mp-3762	193.10608094735738	-7.4244	0.171043	-7.406694
mp-3772	368.38207946541996	-9.870894	0.390748	-9.811337
mp-37906	139.61366657073077	-80.085366	0.999552	-78.914134
mp-380	68.809852529656	-9.166757	0.298453	-9.105572
mp-38011	385.6073663020248	-74.832927	3.1717	-74.100258
mp-38117	155.55446945471823	-9.29734	0.572129	-9.213392
mp-3813	274.52535851373693	-45.937612	1.494883	-44.404403
mp-3821	609.4487333790511	-542.509732	14.560868	-376.970189
mp-3834	287.37074394776164	-268.648727	3.562928	-235.708151
mp-3839	180.94413492190347	-0.238459	0.012969	-0.238417
mp-3915	252.0302370856421	-109.92944	3.096472	-106.09041
mp-3924	753.6654742718179	-87.491739	1.428777	-85.653119
mp-3953	1483.4771369161658	-418.109969	8.194512	-375.801161
mp-3980	826.2697130841046	-399.414721	6.167756	-325.24517
mp-3982	707.1312261791368	-164.563713	4.761304	-155.453093
mp-4002	853.802116494792	-1850.590743	12.365419	-815.381554
mp-4009	378.77548256529855	-36.322722	2.227873	-35.509532
mp-4035	948.371975069278	-245.679323	9.584281	-218.173807
mp-4043	118.6817191888987	-3.402583	0.114009	-3.396541
mp-4047	348.42803087850245	-188.063121	6.729583	-174.81233
mp-406	19.718042697295378	-2.682055	0.135791	-2.677533
mp-4081	110.74837537796304	-3.750087	0.12437	-3.742217
mp-4124	491.903639828436	-151.47508	2.519871	-147.831477
mp-4156	1508.685197038223	-250.503668	3.091614	-230.054503
mp-4175	273.146428367216	-2.272595	0.057584	-2.270268
