Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume
mp-560588	0.3895959837176392	1192.4279542508925	0.4136	6.054459236487297	8.868524032163297	76.8422958822
mp-560790	14.66947126431598	0.019712934094471123	2.5322	2.5196016752905983	11.228200660177986	191.554476649
mp-560791	3.1632399864693244	5.549348656814391	1.2578	3.6544350533645726	10.923887074209693	186.44600408
mp-561561	7.191216224405858	6.379654589702173	1.4724	2.5585998453575645	7.402761122673328	182.682380397
mp-561586	1.9739734295419216	62.448499315453255	0.7808	4.952290503184522	12.976265353055682	125.856870713
mp-561947	2.6448098054738343	73.14952038236383	0.5658	3.3233155156961636	15.27973041583382	95.1810484041
mp-5621	0.0967380869745132	532.8077180930974	1.1336	6.885831767410346	7.148515940120079	158.962019485
mp-5652	1.7412927025054779	31.042226995962523	0.7238	3.259052884751457	9.104430978831157	142.061105268
mp-567290	0.7452682755890523	159.42259010885817	0.6414	7.283928127124663	17.434191520469245	85.0948308389
mp-567373	2.8528110271903624	3.3816250227161455	1.6127	4.806743335156953	13.703702955175338	155.269762521
mp-567558	2.753461483560891	119.68953976738776	0.5745	3.3629852395253472	8.612617289256622	240.127110274
mp-567636	0.18610804147942908	809.0700987677096	0.7156	31.015788227915404	57.84219383586194	46.8810504076
mp-567652	6.695259226428151	3.2740430302533117	1.4162	3.07251418835156	10.118800760210481	277.736248884
mp-567655	1.7587246094724829	45.8377477477344	0.6904	3.1786988026834777	7.2920930600369465	144.006474184
mp-567666	0.5944655191175557	509.8066870708145	0.5761	13.031439152308833	37.496105350639525	331.001924289
mp-567680	3.7265179040957053	32.37138214957355	0.7648	3.3984859003877577	11.270014963818767	254.443473256
mp-567744	2.121544326477044	163.25077547573406	0.563	3.2699497426859176	6.438843434696296	404.794452232
mp-567776	1.1117938999898502	445.528591288898	0.6472	9.143932220072658	14.029446066374092	284.536314966
mp-567913	0.5472381952862451	1927.1002529995906	0.5262	8.604901735514964	11.712742045255204	301.186478375
mp-568018	0.5227654842582147	2882.048758105988	0.4642	9.716301728017635	13.497531625185859	237.653804225
mp-568032	0.30080142191875603	4126.469909806919	0.3323	8.023207566537549	11.624505160049413	197.852429765
mp-568052	0.16320118832086192	6626.970636966552	0.4881	18.159639654110812	22.45478725889782	269.959838884
mp-568273	1.4729519482421978	176.13043027944278	0.5344	4.386035958113316	11.825316851600551	102.478211455
mp-568284	2.5310126552480856	72.71734960659649	0.8178	3.9416783882259865	7.048874078846267	497.119169334
mp-568536	3.0341504105000645	94.01746900189488	0.7132	4.672041816720282	12.630808680308343	362.242680306
mp-568544	2.3002350857263676	174.1983516162775	0.4889	3.582360023083323	12.250573487268158	140.850470511
