Name	Alpha	Mobility	mass	eps_ionic	eps_static	volume	structure	group
mp-13031	0.5574347337035647	767.5364513304135	0.4283	4.773944547829019	7.258907764143209	52.3401163538	Cubic	Group16
mp-13032	0.7364091904824904	326.81643608279603	0.499	4.157364551190687	6.711748702856993	45.1550784515	Cubic	Group16
mp-13033	0.4141153902655918	1400.6756530367225	0.4041	5.623934801436312	7.952595751492455	66.7617516527	Cubic	Group16
mp-13056	2.3549624718105884	17.53905210354888	0.8907	4.704615828782752	45.0081837146556	158.62293362	Trigonal	Group16
mp-13097	0.2189816923726249	11957.72798164498	0.2256	10.116006758945556	17.72520239946985	119.668999785	Tetragonal	Group15
mp-13099	0.5106732454268775	271.21490118443745	0.5639	6.694891773577759	12.129865240796915	35.6915035983	Cubic	Group15
mp-13109	2.1168067595216686	23.669772592804584	0.7966	4.389569279357023	34.2356045333991	134.192309073	Orthorhombic	Group16
mp-13133	3.9562040504995335	3.235840410310914	1.358	3.316111915105252	13.094842793803284	186.984359824	Orthorhombic	Group16
mp-1315	1.106009100226018	154.55442801381636	0.5896	5.562950623890684	14.938912161793391	34.815291185	Cubic	Group16
mp-13275	0.6522647719636606	775.9210406336265	0.4469	7.901059192030097	17.754708542142453	222.314273878	Hexagonal	Group15
mp-13276	1.0314743108387086	147.92164008863162	0.7357	8.187458925326238	21.35375241846645	129.014004418	Hexagonal	Group15
mp-13277	0.9796942742917998	209.7594066067813	0.6738	9.182214139952068	27.932099851869843	148.88577137	Hexagonal	Group15
mp-1330	0.97809914925555	70.78137406948915	0.6311	5.102944130335218	17.427021180559105	16.534210544	Cubic	Group13
mp-13356	2.0055055642783572	42.786364617250406	0.6917	3.993741877229081	17.303334520030383	157.800426444	Trigonal	Group16
mp-1340	0.2740729086018348	3435.537497180539	0.3546	8.475830531214479	12.196595804960824	243.570403322	Monoclinic	Group13
mp-1342	2.610013159261952	33.42193655350735	0.7123	4.325229893661405	83.37586410157637	41.7859991799	Cubic	Group16
mp-13445	1.0105705516641073	466.50744219493674	0.6801	8.081578080352756	12.72800970073454	298.0995275	Orthorhombic	Group15
mp-1345	0.5904583065861067	296.3922136798015	0.7012	8.20531094281365	12.625970984947369	279.263144576	Hexagonal	Group15
mp-13548	3.138668628350669	95.533697721639	0.8534	7.4738690740327245	25.76920093498869	210.179788922	Hexagonal	other
mp-13610	2.778012372008278	24.63327055849578	0.8053	3.0068928654987173	7.700906028012705	113.89385181	Trigonal	Group14
mp-13660	0.6304869288463001	689.0938227316299	0.4855	10.193559033807928	28.217659936566303	173.378022115	Tetragonal	Group15
mp-1367	0.1639457257153556	1982.975582710361	0.5049	17.3968240663001	25.35543840938792	63.2813539123	Cubic	Group14
mp-13676	1.244377956692518	93.85962597521096	0.5581	4.064894775501476	17.647996593864594	157.970933442	Orthorhombic	Group13
mp-13800	4.668481131272814	11.753328852789169	0.8416	2.5033432707436547	8.859028560436139	181.407101027	Cubic	Group13
